director,release_year,movie_id,title,weighted_rating
Franklin J. Schaffner,1970,11202,Patton,6.397332191467285
Etan Cohen,2015,257091,Get Hard,5.997414588928223
John Fortenberry,1998,9429,A Night at the Roxbury,6.060224533081055
Darren Grant,2005,16186,Diary of a Mad Black Woman,6.114446640014648
James Watkins,2012,65086,The Woman in Black,6.097034454345703
James Watkins,2008,13510,Eden Lake,6.273758411407471
Chris Columbus,2015,257344,Pixels,5.736255645751953
Chris Columbus,2010,32657,Percy Jackson & the Olympians: The Lightning Thief,6.03013801574707
Chris Columbus,2009,19840,"I Love You, Beth Cooper",5.9240312576293945
Chris Columbus,2005,1833,Rent,6.177720069885254
Chris Columbus,2002,672,Harry Potter and the Chamber of Secrets,7.215010166168213
Chris Columbus,2001,671,Harry Potter and the Philosopher's Stone,7.330631732940674
Chris Columbus,1999,2277,Bicentennial Man,6.49749231338501
Chris Columbus,1998,9441,Stepmom,6.2740936279296875
Chris Columbus,1993,788,Mrs. Doubtfire,6.6590118408203125
Chris Columbus,1992,772,Home Alone 2: Lost in New York,6.24090051651001
Chris Columbus,1990,771,Home Alone,6.813779830932617
Walt Becker,2015,258509,Alvin and the Chipmunks: The Road Chip,6.002797603607178
Walt Becker,2009,22949,Old Dogs,5.932831287384033
Walt Becker,2007,11199,Wild Hogs,5.894387245178223
Walt Becker,2002,11452,National Lampoon’s Van Wilder,6.002025127410889
Lena Dunham,2010,47607,Tiny Furniture,6.0647149085998535
Joe Berlinger,2000,11531,Book of Shadows: Blair Witch 2,5.768641948699951
Walter Hill,2013,70074,Bullet to the Head,5.79491662979126
Walter Hill,2002,15070,Undisputed,6.094152927398682
Walter Hill,2000,10384,Supernova,5.971517086029053
Walter Hill,1980,14729,The Long Riders,6.118414402008057
Lloyd Kaufman,2006,17287,Poultrygeist: Night of the Chicken Dead,6.0853800773620605
Lloyd Kaufman,1989,28165,The Toxic Avenger Part II,6.062304496765137
Lloyd Kaufman,1984,15239,The Toxic Avenger,6.115093231201172
Dan Curtis,1998,57943,The Love Letter,6.088960647583008
Lance Hool,1999,69848,One Man's Hero,6.099979400634766
Andrew Erwin,2011,83860,October Baby,6.118189334869385
Fred Schepisi,2001,14778,Last Orders,6.091213226318359
Brian De Palma,2007,11600,Redacted,6.097269058227539
Brian De Palma,2006,9676,The Black Dahlia,6.002712726593018
Brian De Palma,2002,9280,Femme Fatale,6.1070661544799805
