movie_id,budget,director,genres,main_cast,original_language,popularity,release_date,release_year,revenue,runtime,status,title,vote_average,vote_count,weighted_rating
2062,150000000,Jan Pinkava,"['Animation', 'Comedy', 'Family', 'Fantasy']","['Patton Oswalt', 'Ian Holm', 'Lou Romano', 'Brian Dennehy', 'Peter Sohn']",en,65.67739868164062,2007-06-22,2007,623722818,111.0,Released,Ratatouille,7.5,4369,7.246805667877197
11600,5000000,Brian De Palma,"['Drama', 'War']","['Izzy Diaz', 'Rob Devaney', 'Ty Jones', 'Anas Wellman', 'Mike Figueroa']",en,3.7920150756835938,2007-01-01,2007,782102,90.0,Released,Redacted,6.199999809265137,37,6.097269058227539
37232,,Khyentse Norbu,"['Adventure', 'Drama', 'Foreign']","['Tshewang Dendup', 'Sonam Lhamo', 'Lhakpa Dorji', 'Deki Yangzom', 'Sonam Kinga']",en,0.7496989965438843,2003-09-09,2003,,108.0,Released,Travellers and Magicians,6.800000190734863,9,6.0998759269714355
5900,,Alex van Warmerdam,"['Comedy', 'Drama']","['Henri Garcin', 'Ingeborg Elzevier', 'Khaldoun Elmecky', 'Margo Dames', 'Frans Vorstman']",nl,0.14403100311756134,1996-03-21,1996,,103.0,Released,The Dress,7.0,3,6.096133232116699
114,14000000,Garry Marshall,"['Romance', 'Comedy']","['Julia Roberts', 'Richard Gere', 'Ralph Bellamy', 'Jason Alexander', 'Héctor Elizondo']",en,45.47348403930664,1990-03-23,1990,463000000,119.0,Released,Pretty Woman,7.0,1746,6.678550720214844
1548,7000000,Terry Zwigoff,"['Comedy', 'Drama']","['Thora Birch', 'Scarlett Johansson', 'Steve Buscemi', 'Brad Renfro', 'Bob Balaban']",en,14.072940826416016,2001-07-20,2001,,111.0,Released,Ghost World,7.099999904632568,426,6.4029459953308105
10383,,Janusz Kamiński,"['Horror', 'Thriller']","['Winona Ryder', 'Ben Chaplin', 'Sarah Wynter', 'Philip Baker Hall', 'John Hurt']",en,3.312385082244873,2000-10-13,2000,,97.0,Released,Lost Souls,4.5,38,6.0325775146484375
660,5500000,Terence Young,"['Adventure', 'Action', 'Thriller']","['Sean Connery', 'Claudine Auger', 'Adolfo Celi', 'Luciana Paluzzi', 'Rik Van Nutter']",en,31.035999298095703,1965-12-16,1965,141195658,130.0,Released,Thunderball,6.5,562,6.243576526641846
9339,82500000,Frank Coraci,"['Comedy', 'Drama', 'Fantasy', 'Romance']","['Adam Sandler', 'Kate Beckinsale', 'Christopher Walken', 'David Hasselhoff', 'Henry Winkler']",en,41.176631927490234,2006-06-22,2006,237681299,107.0,Released,Click,6.0,2104,6.029212951660156
385383,27000000,Rob Hawk,"['Action', 'Drama']","[""Erin O'Brien"", 'Miesha Tate', 'Holly Holm', 'Cristiane Justino', 'Susie Celek']",en,1.2241050004959106,2016-07-22,2016,,90.0,Released,Fight Valley,3.9000000953674316,8,6.075160503387451
15256,6000000,Risa Bramon Garcia,"['Comedy', 'Drama', 'Romance']","['Ben Affleck', 'Casey Affleck', 'Dave Chappelle', 'Kate Hudson', 'Janeane Garofalo']",en,3.5611979961395264,1999-02-26,1999,6852450,101.0,Released,200 Cigarettes,6.099999904632568,44,6.093599319458008
11062,,Harold Becker,"['Drama', 'Thriller']","['Al Pacino', 'John Cusack', 'Bridget Fonda', 'Danny Aiello', 'Martin Landau']",en,3.6218369007110596,1996-02-16,1996,,111.0,Released,City Hall,6.0,67,6.087212562561035
10437,,Brian Henson,"['Comedy', 'Family', 'Fantasy', 'Drama']","['Michael Caine', 'Don Austen', 'Meredith Braun', 'Don Austen', 'Ed Sanders']",en,15.085981369018555,1992-12-10,1992,27281507,85.0,Released,The Muppet Christmas Carol,7.199999809265137,212,6.293663501739502
20391,20000000,Joshua Logan,"['Drama', 'Action', 'Comedy', 'Western', 'Music']","['Lee Marvin', 'Clint Eastwood', 'Jean Seberg', 'Harve Presnell', 'Ray Walston']",en,7.902535915374756,1969-10-15,1969,31678778,158.0,Released,Paint Your Wagon,6.199999809265137,63,6.09988260269165
56715,,Jean-Marie Poiré,"['Comedy', 'Fantasy', 'Science Fiction']","['Jean Reno', 'Christina Applegate', 'Christian Clavier', 'Matt Ross', 'Tara Reid']",en,10.844882011413574,2001-04-06,2001,,88.0,Released,Just Visiting,4.800000190734863,171,5.897593021392822
987,4000000,Billy Wilder,"['Romance', 'Drama', 'Comedy']","['Jack Lemmon', 'Walter Matthau', 'Susan Sarandon', 'Vincent Gardenia', 'David Wayne']",en,4.1179680824279785,1974-12-01,1974,,105.0,Released,The Front Page,6.900000095367432,68,6.146718502044678
12120,20000000,Richard Benjamin,"['Comedy', 'Science Fiction']","['Dan Aykroyd', 'Kim Basinger', 'Jon Lovitz', 'Alyson Hannigan', 'Seth Green']",en,9.455595970153809,1988-12-09,1988,13854000,108.0,Released,My Stepmother is an Alien,5.300000190734863,131,5.9979634284973145
18320,35000000,Jean-Marc Vallée,"['Drama', 'History', 'Romance']","['Emily Blunt', 'Jim Broadbent', 'Mark Strong', 'Paul Bettany', 'Miranda Richardson']",en,16.34331703186035,2009-03-04,2009,27409889,105.0,Released,The Young Victoria,7.0,322,6.321218013763428
23631,20000000,Robert Rodriguez,"['Action', 'Comedy', 'Thriller']","['Danny Trejo', 'Michelle Rodriguez', 'Jessica Alba', 'Robert De Niro', 'Lindsay Lohan']",en,26.396190643310547,2010-09-01,2010,31327899,105.0,Released,Machete,6.300000190734863,1150,6.20601224899292
10137,133000000,Rob Minkoff,"['Animation', 'Fantasy', 'Family', 'Comedy']","['Michael J. Fox', 'Geena Davis', 'Hugh Laurie', 'Jonathan Lipnicki', 'Nathan Lane']",en,30.475297927856445,1999-12-17,1999,300135367,84.0,Released,Stuart Little,5.800000190734863,959,5.946652889251709
46146,3500000,André Øvredal,"['Fantasy', 'Horror']","['Otto Jespersen', 'Hans Morten Hansen', 'Tomas Alf Larsen', 'Johanna Mørck', 'Knut Nærum']",nb,12.982318878173828,2010-10-29,2010,4159678,103.0,Released,Troll Hunter,6.699999809265137,583,6.3226847648620605
7450,75000000,Gary Goldman,"['Animation', 'Action', 'Science Fiction', 'Family', 'Adventure']","['Matt Damon', 'Bill Pullman', 'Drew Barrymore', 'John Leguizamo', 'Nathan Lane']",en,14.44381046295166,2000-06-16,2000,36754634,94.0,Released,Titan A.E.,6.300000190734863,313,6.144166469573975
86825,12000000,Park Chan-wook,"['Drama', 'Horror', 'Thriller']","['Mia Wasikowska', 'Nicole Kidman', 'Matthew Goode', 'Dermot Mulroney', 'Jacki Weaver']",en,27.32221221923828,2013-02-28,2013,12077441,99.0,Released,Stoker,6.5,882,6.288147926330566
9691,50000000,Richard Donner,"['Action', 'Adventure', 'Crime', 'Thriller']","['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson']",en,23.073932647705078,1995-10-06,1995,30303072,132.0,Released,Assassins,6.0,387,6.066478252410889
