release_year,popularity,movie_id,title
1940,46.007991790771484,10895,Pinocchio
1940,32.87546920776367,756,Fantasia
1940,18.42682456970215,223,Rebecca
1940,1.8670040369033813,55604,Boom Town
1940,1.2807329893112183,60400,The Blue Bird
1937,80.17127990722656,408,Snow White and the Seven Dwarfs
1937,4.021389007568359,43867,The Prisoner of Zenda
1942,47.651878356933594,3170,Bambi
1942,43.729122161865234,289,Casablanca
1944,0.6280509829521179,43546,Bathing Beauty
1944,0.5314440131187439,43306,A Guy Named Joe
1992,92.98200988769531,812,Aladdin
1992,81.48768615722656,772,Home Alone 2: Lost in New York
1992,66.92586517333984,500,Reservoir Dogs
1992,59.11317443847656,364,Batman Returns
1992,45.856407165527344,8077,Alien³
1992,45.02296447753906,6114,Dracula
1992,40.379966735839844,881,A Few Good Men
1992,37.77656555175781,9361,The Last of the Mohicans
1992,37.380435943603516,33,Unforgiven
1992,36.17218017578125,943,Lethal Weapon 3
1992,33.75828170776367,766,Army of Darkness
1992,29.49830436706543,9374,Death Becomes Her
1992,26.576385498046875,619,The Bodyguard
1992,21.815122604370117,8872,Wayne's World
1992,21.661027908325195,11287,A League of Their Own
1992,19.822790145874023,1883,Malcolm X
1992,19.637704849243164,9869,Patriot Games
1992,19.23150634765625,10377,My Cousin Vinny
1992,15.085981369018555,10437,The Muppet Christmas Carol
1992,14.269791603088379,9367,El Mariachi
1992,13.939053535461426,9504,Glengarry Glen Ross
1992,10.125028610229492,10163,The Lawnmower Man
1992,8.932836532592773,10414,The Mighty Ducks
1992,8.839651107788086,11386,The Crying Game
1992,8.708229064941406,12088,Fortress
1992,7.558959007263184,13937,Raising Cain
1992,7.222984790802002,2687,Memoirs of an Invisible Man
1992,7.021871089935303,9096,Medicine Man
1992,6.42043399810791,11066,Boomerang
1992,6.063868045806885,36351,Light Sleeper
1992,5.926966190338135,10410,Hoffa
1992,5.897390842437744,8293,Howards End
1992,4.857028007507324,13006,Split Second
1992,3.5034079551696777,20763,Radio Flyer
1933,1.9333659410476685,3062,42nd Street
1933,0.6227520108222961,43595,She Done Him Wrong
1999,146.75738525390625,550,Fight Club
1999,104.30998992919922,603,The Matrix
1999,103.6980209350586,497,The Green Mile
1999,80.87860870361328,14,American Beauty
1999,73.57511901855469,863,Toy Story 2
1999,73.08557891845703,745,The Sixth Sense
1999,61.24595642089844,10386,The Iron Giant
